date,type,title,duration_hours,bike_miles,run_miles,swim_yards,strength,summary,details,source,inferred_from_schedule
2026-05-18,Swim,Easy swim + strength,0.6283,0,0,1531.1,1,"1,400 m easy swim with breaks, followed by strength and abs.",Back rows · strict bicep curls at 30 lb · 50 lb reverse-grip EZ curls · ab workout,Notes,
2026-05-19,Bike,Easy bike with Zone 3 reps,0.75,0,0,0,0,45 min ride with 5 × 2 min Zone 3 efforts.,2 min easy between reps · 18 mph average,Notes,
2026-05-23,Bike,Sausalito out-and-back,0,0,0,0,0,Long ride from San Francisco to Sausalito and back.,,Notes,
2026-05-24,Run,Ocean Beach Zone 2 run,0.75,0,0,0,0,Easy Zone 2 run at Ocean Beach.,,Notes,
2026-05-24,Swim,Aquatic Park recovery swim,0,0,0,984.2519685039371,0,Recovery swim at Aquatic Park.,,Notes,
2026-05-25,Swim,Open-water swim,0,0,0,2023.1846019247594,0,"Open-water swim, roughly 1,700–2,000 m.",,Notes,
2026-05-26,Bike,Volcano climb,0.9075,14.8,0,0,0,14.8 mi ride in 54:27.,672 ft elevation gain,Notes,
2026-05-27,Run,Easy run,0.6666666666666666,0,0,0,0,Easy run around 10:00/mi.,Slightly achy shins,Notes,
2026-05-27,Swim,Recovery swim,0.4,0,0,1312.3,0,"1,200 m recovery swim.",~2:00/100 m,Notes,
2026-05-28,Bike,Mainly Zone 3 ride,0.943,18.2,0,0,0,18.2 mi in 56:35.,19.3 mph average · mostly Zone 3 with some Zone 2/4,Notes,
2026-05-29,Run,Easy 30-minute run,0.5,0,2.727,0,1,30 min easy run.,~11:00/mi,Notes,
2026-05-30,Bike,Long bike,1.25,22,0,0,0,22 mi in 1:15.,,Notes,
2026-05-30,Run,Brick run,0.1667,0,1,0,0,1 mi brick run in 10 min.,,Notes,
2026-05-31,Run,Long run,0.6666666666666666,0,0,0,0,40 min long run.,,Notes,
2026-05-31,Swim,Recovery swim,0,0,0,1093.6,0,"1,000 m recovery swim.",,Notes,
2026-06-01,Swim,Aerobic swim,0.5778,0,0,1749.8,0,"1,600 m swim.",2:10/100 m,Notes,
2026-06-02,Bike,Threshold intervals,0.7667,0,0,0,0,46 min bike with 4 × 4 min Zone 4 efforts.,,Notes,
2026-06-03,Run,Hard run,0.4167,0,0,0,0,25 min Zone 4/5 run.,,Notes,
2026-06-03,Swim,Recovery swim,0,0,0,1531.058617672791,0,"1,400 m recovery/easy swim (scheduled workout assumed completed).",,Notes — scheduled workout inferred from COMPLETE,True
2026-06-04,Bike,Zone 2 ride,1.0833,21.4,0,0,0,21.4 mi in 1:05.,19.1 mph · 157 W average,Notes,
2026-06-05,Run,Easy run,0.63,0,4.2,0,1,4.2 mi just under 9:00/mi.,,Notes,
2026-06-06,Bike,Long bike,3.0833,41,0,0,0,41 mi in 3:05.,,Notes,
2026-06-06,Run,Brick run,0.2083,0,0,0,0,12:30 easy brick run.,,Notes,
2026-06-07,Run,Long run,1.0667,0,6.05,0,0,6.05 mi in 1:04.,,Notes,
2026-06-08,Swim,Recovery-week swim,0.5667,0,0,1749.8,0,"1,600 m in 34 min.",2:07.5/100 m,Notes,
2026-06-09,Bike,Short threshold ride,0.5833,12,0,0,0,12 mi in 35 min.,177 W average · FTP 180 W,Notes,
2026-06-10,Run,Easy run,0.5333,0,3,0,0,3 mi in 32 min.,,Notes,
2026-06-10,Swim,Recovery swim,0,0,0,874.9,0,800 m recovery swim.,,Notes,
2026-06-11,Bike,Progressive bike,1.0,20,0,0,0,~20 mi progressive ride.,Gradual wattage build in 3 cycles,Notes,
2026-06-12,Run,Easy run,0.5833,0,0,0,1,35 min easy run.,,Notes,
2026-06-13,Bike,Long bike,1.5,20.3,0,0,0,20.3 mi in 1:30.,,Notes,
2026-06-13,Run,Brick run,0.25,0,1.815,0,0,15 min brick run.,8:16/mi pace,Notes,
2026-06-14,Run,Long run,0.8333333333333334,0,5,0,0,5 mi easy run.,,Notes,
2026-06-14,Swim,Recovery swim,0,0,0,1232.0,0,0.7 mi recovery swim.,,Notes,
2026-06-15,Swim,Aerobic swim,0.9,0,0,2405.9,1,"2,200 m in 54 min.",,Notes,
2026-06-16,Bike,At / Over / Under,0.8333,0,0,0,0,50 min threshold-oriented bike workout.,,Notes,
2026-06-17,Run,Tempo run,0.6551,0,4.28,0,0,4.28 mi tempo-oriented run.,9:11/mi average,Notes,
2026-06-17,Swim,Recovery swim,0,0,0,1367.0,0,"1,250 m swim.",,Notes,
2026-06-18,Bike,Zone 2 ride,0.9167,16.2,0,0,0,16.2 mi in 55 min.,~141 W average,Notes,
2026-06-19,Run,Easy run,0.5833,0,0,0,1,35 min easy run.,,Notes,
2026-06-20,Bike,Long bike,3,41,0,0,0,41 mi in 3:00.,,Notes,
2026-06-20,Run,Brick run,0.3333333333333333,0,0,0,0,20 min easy brick run (scheduled workout assumed completed).,,Notes — scheduled workout inferred from COMPLETE,True
2026-06-21,Run,Long run,1.1333,0,8,0,0,8 mi at 8:30/mi.,,Notes,
2026-06-22,Swim,Aerobic swim,0.8128,0,0,2405.9,1,"2,200 m aerobic swim.",2:13/100 m,Notes,
2026-06-23,Bike,Sweet spot ride,0.9,17.3,0,0,0,17.3 mi hard ride after a new bike fit.,~54 min,Notes,
2026-06-24,Run,Easy run,0,0,3,0,0,3 mi easy run.,,Notes,
2026-06-24,Swim,Relaxed swim,0,0,0,1312.3,0,"1,200 m relaxed swim.",,Notes,
2026-06-25,Bike,Zone 2 ride,1.5,26.05,0,0,0,26.05 mi in 90 min.,17.3 mph · ~132 W average,Notes,
2026-06-26,Run,Steady run,0.6506,0,5,0,1,5 mi in 39:02.,,Notes,
2026-06-27,Bike,Long bike,2.9,50.2,0,0,0,50.2 mi in 2:54.,~500 ft elevation gain,Notes,
2026-06-27,Run,Brick run,0.1417,0,1,0,0,1 mi brick run in 8:30.,,Notes,
2026-06-28,Run,Long run,1.4,0,9.02,0,0,9.02 mi in 1:24.,,Notes,
2026-06-29,Swim,Interval swim,0,0,0,2734.0,1,"2,500 m swim.",Intervals of 250 m,Notes,
2026-06-30,Bike,Hill / FTP workout,0.75,0,0,0,0,45 min hill-focused FTP workout.,,Notes,
2026-07-01,Run,5K,0,0,3.107,0,0,5K run.,,Notes,
